オーダー Id,オーダー日,カテゴリ,カテゴリ (Rank.Csv),サブカテゴリ,メーカー,ランク,出荷モード,出荷日,利益,国/領域,地域,市区町村,製品名,都道府県,顧客区分,顧客名,レコード数,レコード数 1,利益率,割引率,売上,数量
JP-2019-1000099,2019/11/08,家具,家具,本棚,Dania,B,即日配送,2019/11/08,"-￥1,986",日本,北海道,千歳市,"Dania キャビネット, 従来型",北海道,消費者,谷奥 大地,1,1,-0.12,0.4,16974,3
JP-2020-1001016,2020/10/07,事務用品,事務用品,アプライアンス,フーバー,A,ファースト クラス,2020/10/10,"￥25,584",日本,中部地方,豊田市,"フーバー ミキサー, シルバー",愛知県,消費者,飯沼 真,1,1,0.49,0,52224,8
JP-2018-1001113,2018/08/18,事務用品,事務用品,バインダー,カーディナル,A,ファースト クラス,2018/08/21,￥211,日本,中部地方,浜松市中区,"カーディナル バインダー, エコノミー",静岡県,消費者,笹淵 大輔,1,1,0.06,0.4,3319,6
JP-2018-1001177,2018/11/25,家具,家具,椅子,Novimex,B,ファースト クラス,2018/11/27,"￥2,466",日本,北海道,千歳市,"Novimex 折り畳み式の椅子, 赤",北海道,小規模事業所,柿下 海斗,1,1,0.15,0.4,16446,5
JP-2018-1001177,2018/11/25,家具,家具,家具,Eldon,B,ファースト クラス,2018/11/27,"-￥3,720",日本,北海道,千歳市,"Eldon フレーム, 黒",北海道,小規模事業所,柿下 海斗,1,1,-0.2,0.4,18600,4
JP-2018-1001799,2018/12/26,家具,家具,椅子,Harbour Creations,B,セカンド クラス,2018/12/29,"￥1,694",日本,関西地方,堺市堺区,"Harbour Creations スツール, 調整可能",大阪府,大企業,吉家 桜,1,1,0.02,0,85218,7
JP-2018-1002711,2018/06/20,事務用品,事務用品,紙,サンディスク,A,セカンド クラス,2018/06/24,"￥10,296",日本,九州,佐伯市,"サンディスク 事務用品, プレミアム",大分県,大企業,五月女 美月,1,1,0.29,0,35508,11
JP-2020-1003088,2020/05/30,家具,家具,家具,Advantus,B,通常配送,2020/06/03,"￥1,056",日本,関東地方,横須賀市,"Advantus 電球, 高耐久性",神奈川県,消費者,中津 茂,1,1,0.31,0,3420,3
JP-2019-1003752,2019/10/30,事務用品,事務用品,画材,Binney & Smith,A,セカンド クラス,2019/11/04,￥40,日本,九州,久留米市,"Binney & Smith ペン, 各種サイズ",福岡県,大企業,東條 麗華,1,1,0.01,0,4032,4
JP-2019-1003752,2019/10/30,事務用品,事務用品,画材,Stanley,A,セカンド クラス,2019/11/04,"￥3,180",日本,九州,久留米市,"Stanley キャンバス, 大容量パック",福岡県,大企業,東條 麗華,1,1,0.32,0,9948,3
JP-2019-1003752,2019/10/30,事務用品,事務用品,保管箱,Rogers,A,セカンド クラス,2019/11/04,"￥3,788",日本,九州,久留米市,"Rogers ファイル カート, 業務用",福岡県,大企業,東條 麗華,1,1,0.2,0,18944,2
JP-2019-1003752,2019/10/30,事務用品,事務用品,バインダー,カーディナル,A,セカンド クラス,2019/11/04,"￥1,536",日本,九州,久留米市,"カーディナル タブ, 高耐久性",福岡県,大企業,東條 麗華,1,1,0.33,0,4672,8
JP-2019-1003752,2019/10/30,事務用品,事務用品,ラベル,Novimex,A,セカンド クラス,2019/11/04,"￥1,280",日本,九州,久留米市,"Novimex 輸送用ラベル, 白",福岡県,大企業,東條 麗華,1,1,0.35,0,3660,5
JP-2020-1006716,2020/05/26,事務用品,事務用品,アプライアンス,ブレビル,A,通常配送,2020/06/02,"￥28,074",日本,関東地方,坂戸市,"ブレビル コンロ, 赤",埼玉県,小規模事業所,堀籠 慶子,1,1,0.25,0,112308,3
JP-2020-1006716,2020/05/26,事務用品,事務用品,封筒,Cameo,A,通常配送,2020/06/02,"￥2,628",日本,関東地方,坂戸市,"Cameo クラフト封筒, シルバー",埼玉県,小規模事業所,堀籠 慶子,1,1,0.37,0,7146,9
JP-2020-1006716,2020/05/26,事務用品,事務用品,クリップ,Stockwell,A,通常配送,2020/06/02,￥78,日本,関東地方,坂戸市,"Stockwell ホチキス, 大容量パック",埼玉県,小規模事業所,堀籠 慶子,1,1,0.04,0,2082,3
JP-2020-1006716,2020/05/26,事務用品,事務用品,封筒,Cameo,A,通常配送,2020/06/02,"￥7,104",日本,関東地方,坂戸市,"Cameo 各種封筒, 赤",埼玉県,小規模事業所,堀籠 慶子,1,1,0.32,0,22240,8
JP-2020-1006716,2020/05/26,家電,家電,事務機器,OKI データ,S,通常配送,2020/06/02,"￥9,224",日本,関東地方,坂戸市,"OKI データ カード プリンター, 赤",埼玉県,小規模事業所,堀籠 慶子,1,1,0.2,0,46128,4
JP-2020-1008702,2020/09/30,事務用品,事務用品,封筒,Kraft,A,通常配送,2020/10/04,-￥658,日本,北海道,旭川市,"Kraft 社内用封筒, 50 枚セット",北海道,消費者,皆川 学,1,1,-0.12,0.4,5630,3
JP-2018-1009485,2018/06/06,家具,家具,椅子,Office Star,B,ファースト クラス,2018/06/08,"￥32,720",日本,中部地方,豊田市,"Office Star 肘掛け椅子, 赤",愛知県,消費者,日野 拓也,1,1,0.21,0,155810,5
JP-2018-1009485,2018/06/06,事務用品,事務用品,ラベル,Hon,A,ファースト クラス,2018/06/08,￥136,日本,中部地方,豊田市,"Hon ファイル フォルダ ラベル, 白",愛知県,消費者,日野 拓也,1,1,0.06,0,2304,4
JP-2018-1009485,2018/06/06,家具,家具,テーブル,Lesro,B,ファースト クラス,2018/06/08,"-￥11,160",日本,中部地方,豊田市,"Lesro 木製テーブル, 長方形",愛知県,消費者,日野 拓也,1,1,-0.1,0.4,111600,6
JP-2018-1009485,2018/06/06,家具,家具,椅子,Hon,B,ファースト クラス,2018/06/08,"￥24,588",日本,中部地方,豊田市,"Hon 折り畳み式の椅子, 2 つセット",愛知県,消費者,日野 拓也,1,1,0.49,0,50202,9
